year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state,total_man_by_state,total_woman_by_state
2005,Aguascalientes,1 salario m¡nimo,3157,3157,0,0,0,0
2005,Aguascalientes,Menos de 1 s.m.,118401,111212,7189,0,0,0
2005,Aguascalientes,M s de 1 hasta 2 s.m.,5092,3921,1171,0,0,0
2005,Aguascalientes,M s de 10 s.m.,257632,124638,132994,0,0,0
2005,Aguascalientes,M s de 2 hasta 3 s.m.,140654,135145,5509,0,0,0
2005,Aguascalientes,M s de 3 hasta 5 s.m.,339865,226954,112911,0,0,0
2005,Aguascalientes,M s de 5 hasta 10 s.m.,57276,43896,13380,0,0,0
2005,Aguascalientes,No especificado,14992,9284,5708,0,0,0
2005,Aguascalientes,No recibe ingresos,64577,59987,4590,0,0,0
2005,Baja California,1 salario m¡nimo,3007,2808,199,0,0,0
2005,Baja California,Menos de 1 s.m.,294185,217573,76612,0,0,0
2005,Baja California,M s de 1 hasta 2 s.m.,20085,14338,5747,0,0,0
2005,Baja California,M s de 10 s.m.,748055,418740,329315,0,0,0
2005,Baja California,M s de 2 hasta 3 s.m.,423938,409432,14506,0,0,0
2005,Baja California,M s de 3 hasta 5 s.m.,1065217,638491,426726,0,0,0
2005,Baja California,M s de 5 hasta 10 s.m.,107923,75762,32161,0,0,0
2005,Baja California,No especificado,30403,16961,13442,0,0,0
2005,Baja California,No recibe ingresos,171619,157981,13638,0,0,0
2005,Baja California Sur,1 salario m¡nimo,4601,4175,426,0,0,0
2005,Baja California Sur,Menos de 1 s.m.,107013,87000,20013,0,0,0
2005,Baja California Sur,M s de 1 hasta 2 s.m.,10934,8555,2379,0,0,0
2005,Baja California Sur,M s de 10 s.m.,163214,81908,81306,0,0,0
2005,Baja California Sur,M s de 2 hasta 3 s.m.,101715,97916,3799,0,0,0
2005,Baja California Sur,M s de 3 hasta 5 s.m.,53931,36496,17435,0,0,0
2005,Baja California Sur,M s de 5 hasta 10 s.m.,24307,19059,5248,0,0,0
2005,Baja California Sur,No especificado,6810,3522,3288,0,0,0
2005,Baja California Sur,No recibe ingresos,38176,32888,5288,0,0,0
2005,Campeche,1 salario m¡nimo,27881,20021,7860,0,0,0
2005,Campeche,Menos de 1 s.m.,270087,252119,17968,0,0,0
2005,Campeche,M s de 1 hasta 2 s.m.,5336,4528,808,0,0,0
2005,Campeche,M s de 10 s.m.,197289,83853,113436,0,0,0
2005,Campeche,M s de 2 hasta 3 s.m.,110497,104245,6252,0,0,0
2005,Campeche,M s de 3 hasta 5 s.m.,143653,70379,73274,0,0,0
2005,Campeche,M s de 5 hasta 10 s.m.,19509,15239,4270,0,0,0
2005,Campeche,No especificado,7631,5220,2411,0,0,0
2005,Campeche,No recibe ingresos,39159,38322,837,0,0,0
2005,Chiapas,1 salario m¡nimo,9054,7105,1949,0,0,0
2005,Chiapas,Menos de 1 s.m.,2642672,2468684,173988,0,0,0
2005,Chiapas,M s de 1 hasta 2 s.m.,32363,25358,7005,0,0,0
2005,Chiapas,M s de 10 s.m.,918823,337370,581453,0,0,0
2005,Chiapas,M s de 2 hasta 3 s.m.,415223,407307,7916,0,0,0
2005,Chiapas,M s de 3 hasta 5 s.m.,455759,229204,226555,0,0,0
2005,Chiapas,M s de 5 hasta 10 s.m.,100311,72664,27647,0,0,0
2005,Chiapas,No especificado,23222,12941,10281,0,0,0
2005,Chiapas,No recibe ingresos,210116,202637,7479,0,0,0
2005,Chihuahua,1 salario m¡nimo,10916,10916,0,0,0,0
2005,Chihuahua,Menos de 1 s.m.,500772,478085,22687,0,0,0
2005,Chihuahua,M s de 1 hasta 2 s.m.,32882,27933,4949,0,0,0
2005,Chihuahua,M s de 10 s.m.,814125,471991,342134,0,0,0
2005,Chihuahua,M s de 2 hasta 3 s.m.,363994,351234,12760,0,0,0
2005,Chihuahua,M s de 3 hasta 5 s.m.,1234135,762088,472047,0,0,0
2005,Chihuahua,M s de 5 hasta 10 s.m.,114287,75082,39205,0,0,0
2005,Chihuahua,No especificado,61390,41896,19494,0,0,0
2005,Chihuahua,No recibe ingresos,133321,119070,14251,0,0,0
2005,Ciudad de Mxico,1 salario m¡nimo,23154,17451,5703,0,0,0
2005,Ciudad de Mxico,Menos de 1 s.m.,70315,62886,7429,0,0,0
2005,Ciudad de Mxico,M s de 1 hasta 2 s.m.,81373,74264,7109,0,0,0
2005,Ciudad de Mxico,M s de 10 s.m.,2842201,1484778,1357423,0,0,0
2005,Ciudad de Mxico,M s de 2 hasta 3 s.m.,840869,776214,64655,0,0,0
2005,Ciudad de Mxico,M s de 3 hasta 5 s.m.,2075100,1342309,732791,0,0,0
2005,Ciudad de Mxico,M s de 5 hasta 10 s.m.,549324,364989,184335,0,0,0
2005,Ciudad de Mxico,No especificado,316327,206815,109512,0,0,0
2005,Ciudad de Mxico,No recibe ingresos,987420,912433,74987,0,0,0
2005,Coahuila,1 salario m¡nimo,73789,72336,1453,0,0,0
2005,Coahuila,Menos de 1 s.m.,209940,198458,11482,0,0,0
2005,Coahuila,M s de 1 hasta 2 s.m.,11951,9186,2765,0,0,0
2005,Coahuila,M s de 10 s.m.,622457,320003,302454,0,0,0
2005,Coahuila,M s de 2 hasta 3 s.m.,335803,312270,23533,0,0,0
2005,Coahuila,M s de 3 hasta 5 s.m.,980428,694003,286425,0,0,0
2005,Coahuila,M s de 5 hasta 10 s.m.,123245,89479,33766,0,0,0
2005,Coahuila,No especificado,22394,13363,9031,0,0,0
2005,Coahuila,No recibe ingresos,182370,167181,15189,0,0,0
2005,Colima,1 salario m¡nimo,10688,10536,152,0,0,0
2005,Colima,Menos de 1 s.m.,135707,117300,18407,0,0,0
2005,Colima,M s de 1 hasta 2 s.m.,5016,3825,1191,0,0,0
2005,Colima,M s de 10 s.m.,164486,64983,99503,0,0,0
2005,Colima,M s de 2 hasta 3 s.m.,84446,82052,2394,0,0,0
2005,Colima,M s de 3 hasta 5 s.m.,106815,64599,42216,0,0,0
2005,Colima,M s de 5 hasta 10 s.m.,33846,24943,8903,0,0,0
2005,Colima,No especificado,6980,4310,2670,0,0,0
2005,Colima,No recibe ingresos,57400,50428,6972,0,0,0
2005,Durango,1 salario m¡nimo,26931,23743,3188,0,0,0
2005,Durango,Menos de 1 s.m.,448535,430932,17603,0,0,0
2005,Durango,M s de 1 hasta 2 s.m.,7136,6041,1095,0,0,0
2005,Durango,M s de 10 s.m.,336669,141758,194911,0,0,0
2005,Durango,M s de 2 hasta 3 s.m.,170140,164469,5671,0,0,0
2005,Durango,M s de 3 hasta 5 s.m.,393872,270484,123388,0,0,0
2005,Durango,M s de 5 hasta 10 s.m.,48660,38710,9950,0,0,0
2005,Durango,No especificado,9218,5443,3775,0,0,0
2005,Durango,No recibe ingresos,104780,98619,6161,0,0,0
2005,Estado de Mxico,1 salario m¡nimo,26137,24497,1640,0,0,0
2005,Estado de Mxico,Menos de 1 s.m.,1226255,1069849,156406,0,0,0
2005,Estado de Mxico,M s de 1 hasta 2 s.m.,117735,112767,4968,0,0,0
2005,Estado de Mxico,M s de 10 s.m.,4226176,2168027,2058149,0,0,0
2005,Estado de Mxico,M s de 2 hasta 3 s.m.,2141733,2078078,63655,0,0,0
2005,Estado de Mxico,M s de 3 hasta 5 s.m.,4322859,2817690,1505169,0,0,0
2005,Estado de Mxico,M s de 5 hasta 10 s.m.,579218,460194,119024,0,0,0
2005,Estado de Mxico,No especificado,201765,132354,69411,0,0,0
2005,Estado de Mxico,No recibe ingresos,1352475,1293826,58649,0,0,0
2005,Guanajuato,1 salario m¡nimo,15917,15634,283,0,0,0
2005,Guanajuato,Menos de 1 s.m.,1049491,903120,146371,0,0,0
2005,Guanajuato,M s de 1 hasta 2 s.m.,35605,30873,4732,0,0,0
2005,Guanajuato,M s de 10 s.m.,1476345,609732,866613,0,0,0
