year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state_and_year,total_man_by_state_and_year,total_woman_by_state_and_year,man_percentage_by_state_and_level,woman_percentage_by_state_and_level,rate_level
2005,Aguascalientes,1 salario m¡nimo,3157,3157,0,1001646,718194,283452,100,0,0
2005,Aguascalientes,Menos de 1 s.m.,118401,111212,7189,1001646,718194,283452,93.928,6.072,0
2005,Aguascalientes,M s de 1 hasta 2 s.m.,5092,3921,1171,1001646,718194,283452,77.003,22.997,0
2005,Aguascalientes,M s de 10 s.m.,257632,124638,132994,1001646,718194,283452,48.378,51.622,0
2005,Aguascalientes,M s de 2 hasta 3 s.m.,140654,135145,5509,1001646,718194,283452,96.083,3.917,0
2005,Aguascalientes,M s de 3 hasta 5 s.m.,339865,226954,112911,1001646,718194,283452,66.778,33.222,0
2005,Aguascalientes,M s de 5 hasta 10 s.m.,57276,43896,13380,1001646,718194,283452,76.639,23.361,0
2005,Aguascalientes,No especificado,14992,9284,5708,1001646,718194,283452,61.926,38.074,0
2005,Aguascalientes,No recibe ingresos,64577,59987,4590,1001646,718194,283452,92.892,7.108,0
2005,Baja California,1 salario m¡nimo,3007,2808,199,2864432,1952086,912346,93.382,6.618,0
2005,Baja California,Menos de 1 s.m.,294185,217573,76612,2864432,1952086,912346,73.958,26.042,0
2005,Baja California,M s de 1 hasta 2 s.m.,20085,14338,5747,2864432,1952086,912346,71.387,28.613,0
2005,Baja California,M s de 10 s.m.,748055,418740,329315,2864432,1952086,912346,55.977,44.023,0
2005,Baja California,M s de 2 hasta 3 s.m.,423938,409432,14506,2864432,1952086,912346,96.578,3.422,0
2005,Baja California,M s de 3 hasta 5 s.m.,1065217,638491,426726,2864432,1952086,912346,59.94,40.06,0
2005,Baja California,M s de 5 hasta 10 s.m.,107923,75762,32161,2864432,1952086,912346,70.2,29.8,0
2005,Baja California,No especificado,30403,16961,13442,2864432,1952086,912346,55.787,44.213,0
2005,Baja California,No recibe ingresos,171619,157981,13638,2864432,1952086,912346,92.053,7.947,0
2005,Baja California Sur,1 salario m¡nimo,4601,4175,426,510701,371519,139182,90.741,9.259,0
2005,Baja California Sur,Menos de 1 s.m.,107013,87000,20013,510701,371519,139182,81.299,18.701,0
2005,Baja California Sur,M s de 1 hasta 2 s.m.,10934,8555,2379,510701,371519,139182,78.242,21.758,0
2005,Baja California Sur,M s de 10 s.m.,163214,81908,81306,510701,371519,139182,50.184,49.816,0
2005,Baja California Sur,M s de 2 hasta 3 s.m.,101715,97916,3799,510701,371519,139182,96.265,3.735,0
2005,Baja California Sur,M s de 3 hasta 5 s.m.,53931,36496,17435,510701,371519,139182,67.672,32.328,0
2005,Baja California Sur,M s de 5 hasta 10 s.m.,24307,19059,5248,510701,371519,139182,78.41,21.59,0
2005,Baja California Sur,No especificado,6810,3522,3288,510701,371519,139182,51.718,48.282,0
2005,Baja California Sur,No recibe ingresos,38176,32888,5288,510701,371519,139182,86.148,13.852,0
2005,Campeche,1 salario m¡nimo,27881,20021,7860,821042,593926,227116,71.809,28.191,0
2005,Campeche,Menos de 1 s.m.,270087,252119,17968,821042,593926,227116,93.347,6.653,0
2005,Campeche,M s de 1 hasta 2 s.m.,5336,4528,808,821042,593926,227116,84.858,15.142,0
2005,Campeche,M s de 10 s.m.,197289,83853,113436,821042,593926,227116,42.503,57.497,0
2005,Campeche,M s de 2 hasta 3 s.m.,110497,104245,6252,821042,593926,227116,94.342,5.658,0
2005,Campeche,M s de 3 hasta 5 s.m.,143653,70379,73274,821042,593926,227116,48.992,51.008,0
2005,Campeche,M s de 5 hasta 10 s.m.,19509,15239,4270,821042,593926,227116,78.113,21.887,0
2005,Campeche,No especificado,7631,5220,2411,821042,593926,227116,68.405,31.595,0
2005,Campeche,No recibe ingresos,39159,38322,837,821042,593926,227116,97.863,2.137,0
2005,Chiapas,1 salario m¡nimo,9054,7105,1949,4807543,3763270,1044273,78.474,21.526,0
2005,Chiapas,Menos de 1 s.m.,2642672,2468684,173988,4807543,3763270,1044273,93.416,6.584,0
2005,Chiapas,M s de 1 hasta 2 s.m.,32363,25358,7005,4807543,3763270,1044273,78.355,21.645,0
2005,Chiapas,M s de 10 s.m.,918823,337370,581453,4807543,3763270,1044273,36.718,63.282,0
2005,Chiapas,M s de 2 hasta 3 s.m.,415223,407307,7916,4807543,3763270,1044273,98.094,1.906,0
2005,Chiapas,M s de 3 hasta 5 s.m.,455759,229204,226555,4807543,3763270,1044273,50.291,49.709,0
2005,Chiapas,M s de 5 hasta 10 s.m.,100311,72664,27647,4807543,3763270,1044273,72.439,27.561,0
2005,Chiapas,No especificado,23222,12941,10281,4807543,3763270,1044273,55.727,44.273,0
2005,Chiapas,No recibe ingresos,210116,202637,7479,4807543,3763270,1044273,96.441,3.559,0
2005,Chihuahua,1 salario m¡nimo,10916,10916,0,3265822,2338295,927527,100,0,0
2005,Chihuahua,Menos de 1 s.m.,500772,478085,22687,3265822,2338295,927527,95.47,4.53,0
2005,Chihuahua,M s de 1 hasta 2 s.m.,32882,27933,4949,3265822,2338295,927527,84.949,15.051,0
2005,Chihuahua,M s de 10 s.m.,814125,471991,342134,3265822,2338295,927527,57.975,42.025,0
2005,Chihuahua,M s de 2 hasta 3 s.m.,363994,351234,12760,3265822,2338295,927527,96.494,3.506,0
2005,Chihuahua,M s de 3 hasta 5 s.m.,1234135,762088,472047,3265822,2338295,927527,61.751,38.249,0
2005,Chihuahua,M s de 5 hasta 10 s.m.,114287,75082,39205,3265822,2338295,927527,65.696,34.304,0
2005,Chihuahua,No especificado,61390,41896,19494,3265822,2338295,927527,68.246,31.754,0
2005,Chihuahua,No recibe ingresos,133321,119070,14251,3265822,2338295,927527,89.311,10.689,0
2005,Ciudad de Mxico,1 salario m¡nimo,23154,17451,5703,7786083,5242139,2543944,75.369,24.631,0
2005,Ciudad de Mxico,Menos de 1 s.m.,70315,62886,7429,7786083,5242139,2543944,89.435,10.565,0
2005,Ciudad de Mxico,M s de 1 hasta 2 s.m.,81373,74264,7109,7786083,5242139,2543944,91.264,8.736,0
2005,Ciudad de Mxico,M s de 10 s.m.,2842201,1484778,1357423,7786083,5242139,2543944,52.24,47.76,0
2005,Ciudad de Mxico,M s de 2 hasta 3 s.m.,840869,776214,64655,7786083,5242139,2543944,92.311,7.689,0
2005,Ciudad de Mxico,M s de 3 hasta 5 s.m.,2075100,1342309,732791,7786083,5242139,2543944,64.686,35.314,0
2005,Ciudad de Mxico,M s de 5 hasta 10 s.m.,549324,364989,184335,7786083,5242139,2543944,66.443,33.557,0
2005,Ciudad de Mxico,No especificado,316327,206815,109512,7786083,5242139,2543944,65.38,34.62,0
2005,Ciudad de Mxico,No recibe ingresos,987420,912433,74987,7786083,5242139,2543944,92.406,7.594,0
2005,Coahuila,1 salario m¡nimo,73789,72336,1453,2562377,1876279,686098,98.031,1.969,0
2005,Coahuila,Menos de 1 s.m.,209940,198458,11482,2562377,1876279,686098,94.531,5.469,0
2005,Coahuila,M s de 1 hasta 2 s.m.,11951,9186,2765,2562377,1876279,686098,76.864,23.136,0
2005,Coahuila,M s de 10 s.m.,622457,320003,302454,2562377,1876279,686098,51.41,48.59,0
2005,Coahuila,M s de 2 hasta 3 s.m.,335803,312270,23533,2562377,1876279,686098,92.992,7.008,0
2005,Coahuila,M s de 3 hasta 5 s.m.,980428,694003,286425,2562377,1876279,686098,70.786,29.214,0
2005,Coahuila,M s de 5 hasta 10 s.m.,123245,89479,33766,2562377,1876279,686098,72.603,27.397,0
2005,Coahuila,No especificado,22394,13363,9031,2562377,1876279,686098,59.672,40.328,0
2005,Coahuila,No recibe ingresos,182370,167181,15189,2562377,1876279,686098,91.671,8.329,0
2005,Colima,1 salario m¡nimo,10688,10536,152,605384,422976,182408,98.578,1.422,0
2005,Colima,Menos de 1 s.m.,135707,117300,18407,605384,422976,182408,86.436,13.564,0
2005,Colima,M s de 1 hasta 2 s.m.,5016,3825,1191,605384,422976,182408,76.256,23.744,0
2005,Colima,M s de 10 s.m.,164486,64983,99503,605384,422976,182408,39.507,60.493,0
2005,Colima,M s de 2 hasta 3 s.m.,84446,82052,2394,605384,422976,182408,97.165,2.835,0
2005,Colima,M s de 3 hasta 5 s.m.,106815,64599,42216,605384,422976,182408,60.477,39.523,0
2005,Colima,M s de 5 hasta 10 s.m.,33846,24943,8903,605384,422976,182408,73.696,26.304,0
2005,Colima,No especificado,6980,4310,2670,605384,422976,182408,61.748,38.252,0
2005,Colima,No recibe ingresos,57400,50428,6972,605384,422976,182408,87.854,12.146,0
2005,Durango,1 salario m¡nimo,26931,23743,3188,1545941,1180199,365742,88.162,11.838,0
2005,Durango,Menos de 1 s.m.,448535,430932,17603,1545941,1180199,365742,96.075,3.925,0
2005,Durango,M s de 1 hasta 2 s.m.,7136,6041,1095,1545941,1180199,365742,84.655,15.345,0
2005,Durango,M s de 10 s.m.,336669,141758,194911,1545941,1180199,365742,42.106,57.894,0
2005,Durango,M s de 2 hasta 3 s.m.,170140,164469,5671,1545941,1180199,365742,96.667,3.333,0
2005,Durango,M s de 3 hasta 5 s.m.,393872,270484,123388,1545941,1180199,365742,68.673,31.327,0
2005,Durango,M s de 5 hasta 10 s.m.,48660,38710,9950,1545941,1180199,365742,79.552,20.448,0
2005,Durango,No especificado,9218,5443,3775,1545941,1180199,365742,59.048,40.952,0
2005,Durango,No recibe ingresos,104780,98619,6161,1545941,1180199,365742,94.12,5.88,0
2005,Estado de Mxico,1 salario m¡nimo,26137,24497,1640,14194353,10157282,4037071,93.725,6.275,0
2005,Estado de Mxico,Menos de 1 s.m.,1226255,1069849,156406,14194353,10157282,4037071,87.245,12.755,0
2005,Estado de Mxico,M s de 1 hasta 2 s.m.,117735,112767,4968,14194353,10157282,4037071,95.78,4.22,0
2005,Estado de Mxico,M s de 10 s.m.,4226176,2168027,2058149,14194353,10157282,4037071,51.3,48.7,0
2005,Estado de Mxico,M s de 2 hasta 3 s.m.,2141733,2078078,63655,14194353,10157282,4037071,97.028,2.972,0
2005,Estado de Mxico,M s de 3 hasta 5 s.m.,4322859,2817690,1505169,14194353,10157282,4037071,65.181,34.819,0
2005,Estado de Mxico,M s de 5 hasta 10 s.m.,579218,460194,119024,14194353,10157282,4037071,79.451,20.549,0
2005,Estado de Mxico,No especificado,201765,132354,69411,14194353,10157282,4037071,65.598,34.402,0
2005,Estado de Mxico,No recibe ingresos,1352475,1293826,58649,14194353,10157282,4037071,95.664,4.336,0
2005,Guanajuato,1 salario m¡nimo,15917,15634,283,5502750,3747106,1755644,98.222,1.778,0
2005,Guanajuato,Menos de 1 s.m.,1049491,903120,146371,5502750,3747106,1755644,86.053,13.947,0
2005,Guanajuato,M s de 1 hasta 2 s.m.,35605,30873,4732,5502750,3747106,1755644,86.71,13.29,0
2005,Guanajuato,M s de 10 s.m.,1476345,609732,866613,5502750,3747106,1755644,41.3,58.7,0
2005,Guanajuato,M s de 2 hasta 3 s.m.,604942,590471,14471,5502750,3747106,1755644,97.608,2.392,0
2005,Guanajuato,M s de 3 hasta 5 s.m.,1809367,1186471,622896,5502750,3747106,1755644,65.574,34.426,0
2005,Guanajuato,M s de 5 hasta 10 s.m.,272621,202879,69742,5502750,3747106,1755644,74.418,25.582,0
